ID,State,Px,Py,Vx,Vy,Speed,Flow,Ax,Ay,Density,Exit_coe,Slope,V_P,W_P,Vg,Vl,Vg_x,Vg_y,Vl_x,Vl_y,Pressure,Friction,Pressure_Sum
0,1,244.354,194.378,0.185345,-0.135218,0.229427,0.299566,0,0,1.30571,0.326429,0,0.453698,0.232493,1,1,0.939693,-0.34202,-0.841517,-0.54023,7.98249,0.349407,8.33189
184,0
185,0
186,0
187,0
188,0
189,1,418.641,205.015,-0.0902823,-0.0584921,0.107574,0.186161,0,0,1.73054,0.432635,0,0.321904,0.316595,1,1,-0.939693,-0.34202,0.967329,-0.253523,8.28121,0.0564163,8.33763
190,1,339.443,251.595,-0.187844,-0.0244985,0.189435,0.225734,0,0,1.19162,0.297905,0,0.492938,0.212758,1,1,-0.984808,0.173648,0.950854,-0.30964,9.0876,0.158341,9.24594
191,0
192,1,466.594,643.139,0.111143,0.0314994,0.115521,0.200063,0,0,1.73183,0.432959,0,0.321536,0.316876,1,1,0.984808,0.173648,0.867037,0.498244,0.789812,0.0642563,0.854068
193,1,245.187,209.227,0.098841,-0.121273,0.15645,0.240426,0,0,1.53675,0.384188,0,0.379224,0.276229,1,1,0.34202,-0.939693,0.484298,0.874903,5.54668,0.419218,5.9659
194,1,531.835,611.306,0.078849,0.0401918,0.0885017,0.159587,0,0,1.80321,0.450803,0,0.301617,0.332525,1,1,0.939693,0.34202,0.139086,0.99028,0.72254,0.0507712,0.773311
195,0
196,1,541.916,604.947,0.318518,0.0556675,0.323346,0.279357,0,0,0.863956,0.215989,0,0.614673,0.163004,1,1,0.939693,0.34202,-0.794229,-0.607619,5.96919,0.757976,6.72717
197,0
198,0
199,0
200,1,227.916,627.306,-0.167044,-0.0935568,0.191459,0.306565,0,0,1.60121,0.400302,0,0.359638,0.289299,1,1,-0.984808,-0.173648,-0.293927,-0.955828,4.33885,0.542913,4.88176
201,0
202,0
203,1,555.229,615.162,0.0539801,0.0645649,0.0841575,0.157271,0,0,1.86877,0.467193,0,0.283884,0.347232,1,1,0.642788,0.766044,-0.625819,-0.779968,1.58728,0.1037,1.69098
204,0
205,1,503.758,445.199,0.065366,-0.0286091,0.0713526,0.130707,0,0,1.83184,0.457961,0,0.293807,0.33891,1,1,0.939693,-0.34202,-0.756752,0.653702,4.24745,0.0399397,4.28739
206,0
207,0
208,0
209,0
210,1,478.704,460.648,0.0557677,-0.0318957,0.0642447,0.128709,0,0,2.00342,0.500855,0,0.249146,0.378345,1,1,0.939693,-0.34202,0.964204,0.265163,0.45502,0.125273,0.580293
211,0
212,1,86.9639,405.685,-0.246726,0.00763068,0.246844,0.375001,0,0,1.51918,0.379795,0,0.384654,0.272729,1,1,-0.939693,-0.34202,0.465369,0.885117,2.85461,0.715051,3.56966
213,0
214,0
215,1,240.012,208.283,-0.00452431,-0.146362,0.146432,0.278251,0,0,1.90021,0.475053,0,0.27557,0.354392,1,1,0.34202,-0.939693,-0.975168,0.221464,1.56357,0.300216,1.86379
216,0
217,0
218,0
219,0
220,0
221,0
222,1,491.019,446.144,0.0887406,0.023004,0.0916738,0.14826,0,0,1.61726,0.404314,0,0.354842,0.292609,1,1,0.984808,0.173648,-0.975885,0.218285,7.21325,0.340017,7.55327
223,0
224,0
225,0
