ID,State,Px,Py,Vx,Vy,Speed,Flow,Ax,Ay,Density,Exit_coe,Slope,V_P,W_P,Vg,Vl,Vg_x,Vg_y,Vl_x,Vl_y,Pressure,Friction,Pressure_Sum
124,1,148.743,615.764,-0.478739,-0.0104484,0.478853,0.419787,0,0,0.876651,0.219163,0,0.609707,0.164744,1,1,-0.984808,0.173648,0.254336,-0.967116,2.76793,1.04485,3.81278
125,1,147.679,523.821,0.133674,0.0133342,0.134338,0.219151,0,0,1.63134,0.407836,0,0.350659,0.295534,1,1,0.642788,-0.766044,-0.852556,0.522636,4.98969,0.502631,5.49232
126,1,585.866,474.53,0.0712289,0.350661,0.357822,0.557172,0,0,1.55712,0.38928,0,0.372978,0.280319,1,1,0.34202,0.939693,-0.385191,0.922837,2.45449,0.594353,3.04884
127,1,163.409,422.586,-0.137919,-0.510823,0.529114,0.624757,0,0,1.18076,0.29519,0,0.496757,0.210945,1,1,-0.173648,-0.984808,-0.609627,-0.792688,2.45814,0.742457,3.2006
128,1,179.388,400.41,-0.405884,-0.0473694,0.408639,0.501947,0,0,1.22834,0.307085,0,0.480131,0.218973,1,1,-0.984808,0.173648,0.233485,-0.97236,2.99772,0.482955,3.48067
129,1,547.928,332.704,0.370317,0.00171246,0.370321,0.366542,0,0,0.989795,0.247449,0,0.566333,0.180908,1,1,0.939693,0.34202,-0.155925,-0.987769,3.32578,0.393539,3.71932
130,1,238.711,335.444,-0.0826723,-0.129213,0.153397,0.27982,0,0,1.82415,0.456039,0,0.295894,0.337189,1,1,-0.642788,-0.766044,0.415425,-0.909628,0.311296,0.132481,0.443776
131,1,237.704,337.91,-0.0812521,-0.0813134,0.114951,0.206321,0,0,1.79486,0.448715,0,0.303915,0.330674,1,1,-0.34202,-0.939693,-0.563311,0.826245,1.0512,0.451329,1.50253
132,1,387.128,391.286,-0.172826,0.182526,0.251365,0.254414,0,0,1.01213,0.253032,0,0.557961,0.184241,1,1,-0.34202,0.939693,0.142112,-0.989851,7.46234,0.572292,8.03463
133,0
134,1,598.539,744.951,0.457263,0.272989,0.532553,0.451583,0,0,0.847959,0.21199,0,0.62096,0.160833,1,1,0.939693,0.34202,-0.656596,0.754242,6.68014,0.507854,7.18799
135,0
136,1,607.131,216.109,0.564393,-0.0932419,0.572043,0.406559,0,0,0.710714,0.177679,0,0.676212,0.14316,1,1,0.939693,-0.34202,0.067911,0.997691,4.85664,0.719372,5.57601
137,1,631.419,133.64,0.439964,-0.0522118,0.443051,0.510226,0,0,1.15162,0.287905,0,0.507079,0.206135,1,1,0.939693,-0.34202,0.405874,0.913929,5.96428,0.115412,6.07969
138,1,245.201,208.871,0.203181,-0.350478,0.405114,0.513257,0,0,1.26695,0.316736,0,0.466849,0.225647,1,1,0.34202,-0.939693,0.187344,0.982294,9.11915,1.01569,10.1348
139,1,459.158,436.81,0.196207,-0.00286253,0.196228,0.27915,0,0,1.42258,0.355645,0,0.415194,0.253994,1,1,0.939693,0.34202,-0.185349,-0.982673,7.33773,0.513576,7.8513
140,0
141,1,416.296,153.937,-0.352195,-0.00141628,0.352198,0.443237,0,0,1.25849,0.314623,0,0.469742,0.224173,1,1,-0.939693,-0.34202,0.403489,0.914985,7.06923,1.06483,8.13406
142,1,576.772,755.113,0.420784,-0.02101,0.421308,0.55678,0,0,1.32155,0.330388,0,0.448381,0.235331,1,1,1,0,0.847935,-0.5301,0.592499,0.315035,0.907534
143,1,161.145,571.773,-0.612764,0.359452,0.710413,0.527002,0,0,0.741826,0.185456,0,0.663481,0.147019,1,1,-0.939693,0.34202,0.328499,0.944504,4.91906,0.927739,5.8468
144,1,325.916,204.111,-0.146163,-0.0280159,0.148824,0.168076,0,0,1.12936,0.282339,0,0.515037,0.202516,1,1,-0.984808,-0.173648,0.68823,-0.725493,5.77405,0.261448,6.03549
145,1,529.741,124.882,0.48764,-0.0678101,0.492332,0.532905,0,0,1.08241,0.270602,0,0.532021,0.19504,1,1,1,0,-0.137965,0.990437,5.16874,0.643847,5.81259
146,1,378.745,607.712,-1.05385,0.474534,1.15576,0.250199,0,0,0.216479,0.0541198,0,0.894689,0.092497,1,1,-0.984808,0.173648,0.118439,0.992961,0.397019,0.37869,0.77571
147,1,191.886,303.741,0.152688,-0.0119733,0.153157,0.273811,0,0,1.78778,0.446944,0,0.305871,0.329108,1,1,0.939693,0.34202,0.159229,-0.987242,1.6678,0.251083,1.91889
148,1,419.296,490.334,1.39792,0.452701,1.46939,0,0,0,0,0,0,1,0.0758582,1,0,0.939693,0.34202,0,0,0,0,0
