Generation,Run_ID,Final_Fitness,Evac_Score,Cost_Score,Solution_Widths
2,69,1582.749696902207,1371.222696902207,2115.27,"[0.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 0.0, 0.0, 2.0, 0.0, 4.0]"
2,70,1750.0233722290827,1447.3293722290828,3026.9400000000005,"[4.0, 0.0, 0.0, 4.0, 0.0, 0.0, 2.0, 0.0, 4.0, 4.0, 2.0, 4.0, 0.0, 2.0, 4.0]"
2,71,1640.5938587623234,1332.2228587623233,3083.7100000000005,"[2.0, 2.0, 4.0, 0.0, 0.0, 4.0, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 4.0, 2.0, 0.0]"
2,72,1574.4531576400557,1322.6541576400557,2517.9900000000002,"[2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 2.0, 4.0, 4.0, 2.0]"
2,73,1714.7023927761581,1446.175392776158,2685.2700000000004,"[4.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 4.0, 2.0, 2.0, 0.0, 0.0, 2.0, 0.0, 4.0]"
2,74,1530.163676250253,1321.640676250253,2085.2300000000005,"[2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 0.0]"
2,75,1657.6315303643723,1335.3975303643724,3222.34,"[0.0, 2.0, 4.0, 4.0, 2.0, 4.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0]"
2,76,1627.3447734367096,1297.0077734367094,3303.370000000001,"[2.0, 2.0, 2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 0.0, 4.0, 2.0, 4.0]"
2,77,1721.4928546157428,1325.3688546157427,3961.2400000000002,"[0.0, 2.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 4.0, 2.0, 4.0, 4.0]"
2,78,1693.1106941638495,1369.6916941638494,3234.1900000000005,"[0.0, 2.0, 2.0, 4.0, 0.0, 2.0, 2.0, 4.0, 0.0, 2.0, 2.0, 2.0, 4.0, 0.0, 4.0]"
2,79,1816.2310765526036,1295.9010765526034,5203.3,"[2.0, 2.0, 2.0, 0.0, 4.0, 2.0, 4.0, 4.0, 2.0, 2.0, 4.0, 4.0, 4.0, 2.0, 4.0]"
2,80,1640.5488981723238,1253.8328981723237,3867.16,"[2.0, 2.0, 4.0, 0.0, 2.0, 2.0, 2.0, 0.0, 4.0, 2.0, 0.0, 2.0, 4.0, 4.0, 4.0]"
2,81,1687.7666771921301,1298.0366771921301,3897.3,"[2.0, 2.0, 2.0, 0.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]"
2,82,1579.1809481889413,1343.4489481889414,2357.32,"[2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 4.0, 2.0, 0.0, 2.0, 0.0, 0.0, 4.0, 4.0, 0.0]"
2,83,1767.2979433198382,1408.1269433198381,3591.71,"[2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 0.0, 4.0]"
2,84,1680.4977420530472,1418.0657420530472,2624.32,"[2.0, 0.0, 2.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 0.0, 4.0]"
2,85,1672.1124206466507,1411.8114206466505,2603.01,"[2.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 2.0, 4.0, 0.0, 2.0, 0.0]"
