ID,time,distance,start_x,start_y,end_x,end_y,state
245,20.8,18.3529,604.441,553.708,616.24,541.613,0
246,215.004,135.909,533.755,563.472,613.263,612.441,0
247,317.51,171.318,224.554,605.685,150.604,706.16,0
248,53.9997,39.6172,291.273,192.127,253.339,183.002,0
249,316.01,295.281,357.423,553.763,312.671,818.015,0
250,182.702,124.738,548.701,566.644,613.281,612.533,0
251,477.92,245.137,411.953,609.827,613.218,612.745,0
252,31.3001,36.7239,616.301,199.461,647.83,197.572,0
253,182.002,130.947,352.085,272,349.416,174.55,0
254,85.1993,108.352,338.884,713.025,312.926,817.983,0
255,195.903,171.725,149.726,540.349,149.714,706.256,0
256,62.1996,80.9009,331.243,740.542,312.426,818.12,0
257,160.201,97.4198,218.563,274.728,248.217,184.701,0
258,288.308,223.745,476.128,426.76,615.688,539.532,0
259,135.799,118.491,343.953,269.287,349.648,174.555,0
260,23.6001,20.9772,85.8276,412.023,67.5679,405.66,0
261,86.5993,68.4634,575.772,706.299,612.112,752.753,0
262,249.306,193.868,205.748,570.222,150.819,706.306,0
263,82.6993,66.8911,588.777,690.291,612.329,752.059,0
264,228.405,211.575,512.957,505.764,615.662,540.276,0
265,292.209,207.296,477.43,399.617,630.265,334.073,0
266,497.121,313.916,441.496,567.745,613.338,613.124,0
267,5.7,5.55143,602.338,818.011,607.624,816.355,0
268,346.612,189.52,260.624,627.139,150.258,706.169,0
269,333.911,343.089,379.881,532.384,312.733,817.96,0
270,474.22,264.084,467.232,476.284,615.636,539.589,0
271,478.12,323.546,274.124,497.77,67.6997,405.638,0
272,59.3997,56.9346,183.266,673.638,150.264,706.123,0
273,160.301,149.84,282.816,705.74,311.112,818.617,0
274,51.3998,48.6758,604.034,294.637,635.859,282.389,0
275,157,156.511,264.512,674.676,151.625,706.598,0
276,29.8001,31.4559,599.752,335.143,630.279,334.171,0
277,79.5994,52.4402,121.361,401.661,67.7826,405.254,0
278,64.8996,87.6136,336.629,733.845,313.085,818.094,0
279,301.909,299.162,344.745,538.936,312.768,818.026,0
280,444.618,238.397,250.053,573.752,150.34,706.091,0
281,40.1,26.5059,94.7879,402.829,67.8132,405.008,0
282,424.017,231.72,411.643,643.564,613.232,613.033,0
283,333.911,151.852,481.492,646.893,613.269,613.237,0
284,121.599,156.092,544.893,286.562,647.926,197.714,0
285,250.606,167.956,197.674,349.599,67.4895,404.409,0
286,426.417,308.796,357.157,444.588,349.645,174.56,0
287,116.099,92.1669,159.348,395.326,67.7179,404.879,0
288,373.914,275.548,455.091,500.494,613.3,612.446,0
289,235.605,122.542,187.318,400.799,67.8163,405.295,0
290,11.2,10.5087,77.8098,407.22,67.8273,405.102,0
291,239.305,149.113,495.913,338.419,630.369,334.112,0
292,176.402,117.616,557.496,304.931,630.279,334.137,0
293,55.9997,32.9807,234.667,214.801,248.665,184.935,0
294,220.104,215.601,435.461,679.163,313.173,818.182,0
295,591.603,402.202,430.348,531.17,613.245,612.796,0
296,29.1001,30.0867,599.194,726.043,612.091,752.747,0
297,402.815,291.813,431.587,379.313,356.073,173.529,0
298,268.007,179.444,169.595,494.231,67.5796,405.912,0
299,41.1999,45.9192,605.563,301.706,630.359,333.945,0
300,347.012,242.138,216.087,502.223,67.4966,406.11,0
