ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
38900,184.902,86.6699,228.306,629.176,144.714,616.377,0,54.1687,130.733,3.41345
38901,96.6991,41.5494,108.628,402.367,67.5102,404.42,0,25.9684,70.7307,3.72373
38902,348.912,167.048,541.739,280.79,648.393,198.095,0,104.405,244.507,3.34191
38903,418.116,152.812,226.859,577.039,144.753,615.811,0,95.5073,322.609,4.37785
38904,182.702,50.6694,296.087,787.779,310.678,818.833,0,31.6684,151.034,5.76922
38905,1755.42,243.724,458.458,687.312,613.221,612.825,0,152.327,1603.09,11.524
38906,633.392,197.208,387.308,667.915,313.031,818.1,0,123.255,510.137,5.13887
38907,365.313,140.143,542.311,185.151,648.444,190.787,0,87.5893,277.724,4.17075
38908,436.917,189.622,236.486,506.39,144.671,615.623,0,118.514,318.404,3.68663
38909,128.499,53.7713,611.436,164.059,648.429,190.777,0,33.607,94.8916,3.82356
38910,277.108,95.1921,223.759,273.385,249.728,185.209,0,59.4951,217.613,4.65766
38911,63.6996,29.805,173.043,620.474,144.712,615.585,0,18.6281,45.0715,3.41953
38912,505.322,169.186,184.466,471.56,139.454,611.248,0,105.741,399.58,4.77885
38913,122.999,39.2519,239.437,220.999,247.765,184.533,0,24.5324,98.4663,5.01372
38914,445.318,112.121,542.583,333.237,630.379,334.078,0,70.0756,375.242,6.35482
38915,1335.72,296.483,355.404,393.522,349.989,174.774,0,185.302,1150.42,7.20834
38916,1842.3,291.636,422.84,666.616,613.26,612.794,0,182.273,1660.02,10.1074
38917,479.42,114.357,533.383,335.533,630.336,334.081,0,71.473,407.947,6.70771
38918,236.205,99.1228,526.913,754.64,611.271,755.653,0,61.9517,174.253,3.81273
38919,397.415,167.358,500.079,150.979,653.729,130.68,0,104.599,292.816,3.79942
38920,372.514,135.108,258.819,656.465,144.183,617.44,0,84.4426,288.071,4.41144
38921,37.2,20.0138,593.856,609.041,613.151,612.573,0,12.5086,24.6914,2.97395
38922,806.15,242.652,302.3,559.101,144.699,615.571,0,151.657,654.493,5.3156
38923,523.919,140.344,576.146,425.183,615.656,539.633,0,87.7147,436.204,5.97299
38924,311.21,137.315,190.85,373.156,66.8458,402.63,0,85.8221,225.388,3.62622
38925,820.147,140.934,481.33,173.348,356,173.826,0,88.084,732.063,9.31096
38926,416.616,115.786,544.836,582.626,613.417,612.129,0,72.366,344.25,5.75707
38927,106.099,54.7785,89.1208,439.127,67.1637,406.838,0,34.2366,71.8624,3.09899
