ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
20772,91.8992,47.0752,607.493,136.246,654.404,132.148,0,29.422,62.4772,3.12349
20773,385.714,114.714,260.329,291.982,251.448,184.483,0,71.6962,314.018,5.37984
20774,1059.49,231.301,377.868,347.98,350.001,174.772,0,144.563,914.925,7.3289
20775,5.1,4.59237,632.625,286.584,637.069,285.306,0,2.87023,2.22977,1.77686
20776,201.603,108.117,248.94,636.499,144.521,616.875,0,67.5734,134.03,2.98347
20777,920.922,239.569,456.82,688.118,613.836,614.402,0,149.731,771.192,6.15053
20778,87.8992,47.3689,315.305,775.033,312.674,818.007,0,29.6056,58.2937,2.96901
20779,550.413,216.234,353.431,636.089,312.211,818.192,0,135.146,415.266,4.07271
20780,174.801,79.7382,572.577,664.194,613.586,614.017,0,49.8364,124.965,3.50751
20781,143.5,85.1261,580.828,290.499,630.778,332.754,0,53.2038,90.2957,2.69717
20782,302.309,155.894,308.672,696.122,312.484,817.985,0,97.4335,204.876,3.10272
20783,1417.7,194.417,458.682,456.886,588.74,484.673,1,121.51,1296.19,11.6673
20784,418.316,101.616,215.707,260.345,248.969,185.006,0,63.5097,354.807,6.58665
20785,893.329,227.735,436.744,648.278,613.907,614.64,0,142.334,750.995,6.27627
20786,97.3991,65.357,328.342,754.144,312.793,817.952,0,40.8481,56.5509,2.38442
20787,289.808,133.92,525.742,377.424,630.361,333.76,0,83.6997,206.109,3.46248
20788,358.613,139.563,258.064,657.418,144.07,617.87,0,87.2269,271.386,4.11126
20789,223.804,76.1003,271.213,254.141,251.766,184.295,0,47.5627,176.242,4.70546
20790,354.312,120.177,268.743,295.267,252.144,184.195,0,75.1104,279.202,4.71722
20791,110.699,52.1446,402.338,178.634,355.193,174.548,0,32.5904,78.1085,3.39667
20792,330.311,107.845,551.917,576.743,613.865,610.995,0,67.403,262.908,4.90054
20793,798.252,207.898,380.174,318.976,349.723,174.748,0,129.937,668.316,6.1434
20794,1417.7,300.217,423.707,356.427,360.328,175.477,1,187.636,1230.07,7.55561
20795,755.463,272.231,259.413,539.403,139.864,611.074,0,170.144,585.318,4.44013
20796,0,0,614.656,813.332,614.599,813.408,0,0,0,0
20797,184.202,111.005,545.032,120.669,653.984,128.633,0,69.3784,114.824,2.65504
20798,980.708,294.628,342.717,535.191,144.512,616.885,0,184.142,796.565,5.32581
20799,286.808,130.052,236.903,750.733,152.803,701.671,0,81.2822,205.526,3.52855
20800,1417.7,201.177,375.831,494.552,486.68,462.933,1,125.736,1291.97,11.2753
20801,172.001,104.258,94.6537,474.109,67.3039,406.617,0,65.1614,106.84,2.63962
20802,373.214,157.444,231.645,782.202,152.788,701.723,0,98.4023,274.811,3.79273
20803,79.3994,19.7963,266.289,198.062,252.622,183.935,0,12.3727,67.0267,6.4173
20804,767.76,212.634,510.494,506.641,613.27,612.435,0,132.896,634.863,5.77713
20805,211.204,120.423,254.102,685.716,150.401,693.4,0,75.2647,135.939,2.80615
20806,92.2992,81.7259,334.325,739.364,313.604,818.256,0,51.0787,41.2205,1.807
20807,126.699,58.2372,595.751,135.036,653.502,129.977,0,36.3983,90.3004,3.4809
20808,1300.53,281.187,418.58,387.66,630.361,334.149,0,175.742,1124.79,7.40022
20809,11.8,9.14581,602.914,757.744,611.325,755.686,0,5.71613,6.08388,2.06434
20810,541.715,193.084,199.579,464.322,139.38,611.258,0,120.678,421.037,4.48894
20811,744.965,222.626,473.206,371.909,630.351,334.527,0,139.142,605.824,5.35401
20812,744.765,121.213,227.186,290.72,248.259,184.754,0,75.758,669.007,9.83084
20813,263.807,92.9228,573.429,480.002,615.569,539.764,0,58.0767,205.73,4.54239
20814,470.82,143.226,121.178,508.602,139.204,611.32,0,89.5165,381.303,5.25958
20815,26.8001,9.55422,640.72,203.878,648.415,198.212,0,5.97139,20.8287,4.48808
20816,66.5996,36.603,411.445,113.873,406.666,77.9103,0,22.8769,43.7227,2.91122
20817,601.6,178.64,316.691,622.391,144.185,617.587,0,111.65,489.95,5.38827
20818,724.17,305.971,340.152,428.758,253.459,182.746,0,191.232,532.938,3.78687
20819,224.104,136.326,375.232,708.202,315.605,819.207,0,85.2038,138.901,2.63022
20820,861.237,285.768,288.858,495.941,139.95,611.073,0,178.605,682.632,4.82202
20821,268.807,90.4141,579.956,188.709,647.777,191.491,0,56.5088,212.298,4.75691
20822,669.883,228.509,334.109,372.152,253.128,183.573,0,142.818,527.066,4.69047
20823,113.499,57.6544,413.32,135.449,407.224,77.7469,0,36.034,77.4648,3.14977
20824,347.212,94.8976,264.828,269.244,250.778,184.7,0,59.311,287.901,5.85409
