step,time,alive
851,851,11457
852,852,11437
853,853,11422
854,854,11406
855,855,11388
856,856,11372
857,857,11355
858,858,11337
859,859,11325
860,860,11307
861,861,11295
862,862,11275
863,863,11259
864,864,11243
865,865,11227
866,866,11210
867,867,11192
868,868,11175
869,869,11160
870,870,11144
871,871,11126
872,872,11112
873,873,11097
874,874,11080
875,875,11066
876,876,11048
877,877,11032
878,878,11019
879,879,11003
880,880,10986
881,881,10971
882,882,10956
883,883,10939
884,884,10927
885,885,10910
886,886,10896
887,887,10878
888,888,10862
889,889,10845
890,890,10829
891,891,10816
892,892,10798
893,893,10783
894,894,10769
895,895,10755
896,896,10739
897,897,10726
898,898,10705
899,899,10693
900,900,10677
901,901,10661
902,902,10645
903,903,10630
904,904,10610
905,905,10598
906,906,10582
907,907,10568
908,908,10551
909,909,10538
910,910,10521
911,911,10505
912,912,10493
913,913,10478
914,914,10461
915,915,10445
916,916,10431
917,917,10417
918,918,10398
919,919,10386
920,920,10370
921,921,10355
922,922,10341
923,923,10326
924,924,10310
925,925,10294
926,926,10282
927,927,10267
928,928,10255
929,929,10239
930,930,10226
931,931,10214
932,932,10199
933,933,10186
934,934,10177
935,935,10163
936,936,10149
937,937,10136
938,938,10123
939,939,10109
940,940,10096
941,941,10087
942,942,10073
943,943,10059
944,944,10048
945,945,10037
946,946,10022
947,947,10010
948,948,9998
949,949,9984
950,950,9973
951,951,9961
952,952,9947
953,953,9937
954,954,9926
955,955,9911
956,956,9898
957,957,9888
958,958,9875
959,959,9862
960,960,9849
961,961,9837
962,962,9825
963,963,9812
964,964,9801
965,965,9787
966,966,9777
967,967,9764
968,968,9750
969,969,9737
970,970,9726
971,971,9712
972,972,9703
973,973,9689
974,974,9675
975,975,9663
976,976,9653
977,977,9639
978,978,9628
979,979,9615
980,980,9604
981,981,9592
982,982,9581
983,983,9567
984,984,9553
985,985,9541
986,986,9528
987,987,9516
988,988,9502
989,989,9493
990,990,9480
991,991,9468
992,992,9453
993,993,9439
994,994,9427
995,995,9415
996,996,9404
997,997,9390
998,998,9377
999,999,9364
1000,1000,9353
1001,1001,9339
1002,1002,9326
1003,1003,9317
1004,1004,9302
1005,1005,9292
1006,1006,9279
1007,1007,9265
1008,1008,9256
1009,1009,9241
1010,1010,9229
1011,1011,9216
1012,1012,9202
1013,1013,9190
1014,1014,9181
1015,1015,9165
1016,1016,9152
1017,1017,9139
1018,1018,9128
1019,1019,9117
1020,1020,9105
1021,1021,9092
1022,1022,9082
1023,1023,9065
1024,1024,9055
1025,1025,9042
1026,1026,9030
1027,1027,9018
1028,1028,9009
1029,1029,8996
1030,1030,8984
1031,1031,8972
1032,1032,8959
1033,1033,8946
1034,1034,8935
1035,1035,8924
1036,1036,8910
1037,1037,8897
1038,1038,8884
1039,1039,8871
1040,1040,8861
1041,1041,8847
1042,1042,8833
1043,1043,8823
1044,1044,8810
1045,1045,8798
1046,1046,8785
1047,1047,8775
1048,1048,8760
1049,1049,8749
1050,1050,8736
1051,1051,8726
1052,1052,8712
1053,1053,8701
1054,1054,8689
1055,1055,8679
1056,1056,8667
1057,1057,8652
1058,1058,8641
1059,1059,8630
1060,1060,8618
1061,1061,8605
1062,1062,8592
1063,1063,8583
1064,1064,8567
1065,1065,8555
1066,1066,8544
1067,1067,8531
1068,1068,8519
1069,1069,8507
1070,1070,8497
1071,1071,8486
1072,1072,8474
1073,1073,8465
1074,1074,8452
1075,1075,8443
1076,1076,8431
1077,1077,8420
1078,1078,8410
1079,1079,8397
1080,1080,8388
1081,1081,8375
1082,1082,8368
1083,1083,8357
1084,1084,8346
1085,1085,8336
1086,1086,8325
1087,1087,8311
1088,1088,8299
1089,1089,8289
1090,1090,8278
1091,1091,8268
1092,1092,8257
1093,1093,8248
1094,1094,8237
1095,1095,8225
1096,1096,8215
1097,1097,8202
1098,1098,8196
1099,1099,8184
1100,1100,8175
1101,1101,8164
1102,1102,8153
1103,1103,8146
1104,1104,8133
1105,1105,8123
1106,1106,8112
1107,1107,8101
1108,1108,8091
1109,1109,8082
1110,1110,8072
1111,1111,8059
1112,1112,8052
1113,1113,8041
1114,1114,8030
1115,1115,8021
1116,1116,8009
1117,1117,8001
1118,1118,7993
1119,1119,7982
1120,1120,7972
1121,1121,7962
1122,1122,7952
1123,1123,7942
1124,1124,7932
1125,1125,7921
1126,1126,7911
1127,1127,7902
1128,1128,7893
1129,1129,7883
1130,1130,7873
1131,1131,7866
1132,1132,7854
1133,1133,7844
1134,1134,7834
1135,1135,7823
1136,1136,7815
1137,1137,7806
1138,1138,7797
1139,1139,7786
1140,1140,7777
1141,1141,7766
1142,1142,7758
1143,1143,7748
1144,1144,7738
1145,1145,7729
1146,1146,7718
1147,1147,7709
1148,1148,7700
1149,1149,7690
1150,1150,7679
1151,1151,7671
1152,1152,7659
1153,1153,7650
1154,1154,7641
1155,1155,7633
1156,1156,7624
1157,1157,7613
1158,1158,7603
1159,1159,7594
1160,1160,7585
1161,1161,7575
1162,1162,7566
1163,1163,7555
1164,1164,7547
1165,1165,7537
1166,1166,7528
1167,1167,7518
1168,1168,7506
1169,1169,7499
1170,1170,7489
1171,1171,7479
1172,1172,7470
1173,1173,7460
1174,1174,7449
1175,1175,7440
1176,1176,7428
1177,1177,7419
1178,1178,7408
1179,1179,7400
1180,1180,7389
1181,1181,7382
1182,1182,7372
1183,1183,7361
1184,1184,7351
1185,1185,7343
1186,1186,7334
1187,1187,7326
1188,1188,7314
1189,1189,7305
1190,1190,7295
1191,1191,7285
1192,1192,7278
1193,1193,7267
1194,1194,7257
1195,1195,7247
1196,1196,7239
1197,1197,7230
1198,1198,7221
1199,1199,7212
1200,1200,7204
1201,1201,7194
1202,1202,7185
1203,1203,7178
1204,1204,7168
1205,1205,7157
1206,1206,7148
1207,1207,7140
1208,1208,7129
1209,1209,7120
1210,1210,7110
1211,1211,7100
1212,1212,7092
1213,1213,7083
1214,1214,7073
1215,1215,7062
1216,1216,7054
1217,1217,7042
1218,1218,7036
1219,1219,7023
1220,1220,7015
1221,1221,7006
1222,1222,6997
1223,1223,6988
1224,1224,6978
1225,1225,6969
1226,1226,6959
1227,1227,6952
1228,1228,6942
1229,1229,6933
1230,1230,6923
1231,1231,6915
1232,1232,6905
1233,1233,6894
1234,1234,6887
1235,1235,6875
1236,1236,6869
1237,1237,6862
1238,1238,6853
1239,1239,6845
1240,1240,6838
1241,1241,6830
1242,1242,6823
1243,1243,6815
1244,1244,6807
1245,1245,6801
1246,1246,6792
1247,1247,6784
1248,1248,6777
1249,1249,6770
1250,1250,6760
1251,1251,6752
1252,1252,6745
1253,1253,6739
1254,1254,6730
1255,1255,6723
1256,1256,6714
1257,1257,6706
1258,1258,6698
1259,1259,6689
1260,1260,6681
1261,1261,6673
1262,1262,6665
1263,1263,6656
1264,1264,6650
1265,1265,6644
1266,1266,6638
1267,1267,6628
1268,1268,6622
1269,1269,6614
1270,1270,6605
1271,1271,6598
1272,1272,6589
1273,1273,6581
1274,1274,6574
1275,1275,6567
1276,1276,6559
1277,1277,6549
1278,1278,6542
1279,1279,6533
1280,1280,6526
1281,1281,6518
1282,1282,6510
1283,1283,6501
1284,1284,6494
1285,1285,6486
1286,1286,6479
1287,1287,6469
1288,1288,6461
1289,1289,6453
1290,1290,6447
1291,1291,6437
1292,1292,6430
1293,1293,6422
1294,1294,6415
1295,1295,6407
1296,1296,6399
1297,1297,6392
1298,1298,6382
1299,1299,6374
1300,1300,6367
1301,1301,6358
1302,1302,6350
1303,1303,6345
1304,1304,6335
1305,1305,6329
1306,1306,6320
1307,1307,6313
1308,1308,6305
1309,1309,6299
1310,1310,6291
1311,1311,6283
1312,1312,6275
1313,1313,6267
1314,1314,6258
1315,1315,6251
1316,1316,6245
1317,1317,6236
1318,1318,6229
1319,1319,6223
1320,1320,6215
1321,1321,6205
1322,1322,6200
1323,1323,6190
1324,1324,6183
1325,1325,6175
1326,1326,6167
1327,1327,6159
1328,1328,6151
1329,1329,6145
1330,1330,6134
1331,1331,6128
1332,1332,6122
1333,1333,6114
1334,1334,6105
1335,1335,6099
1336,1336,6089
1337,1337,6083
1338,1338,6075
1339,1339,6067
1340,1340,6058
1341,1341,6052
1342,1342,6043
1343,1343,6037
1344,1344,6029
1345,1345,6020
1346,1346,6015
1347,1347,6005
1348,1348,5998
1349,1349,5990
1350,1350,5984
1351,1351,5973
1352,1352,5968
1353,1353,5959
1354,1354,5952
1355,1355,5943
1356,1356,5935
1357,1357,5928
1358,1358,5922
1359,1359,5912
1360,1360,5903
1361,1361,5895
1362,1362,5890
1363,1363,5883
1364,1364,5872
1365,1365,5865
1366,1366,5856
1367,1367,5850
1368,1368,5843
1369,1369,5835
1370,1370,5826
1371,1371,5818
1372,1372,5810
1373,1373,5805
1374,1374,5795
1375,1375,5789
1376,1376,5778
1377,1377,5771
1378,1378,5763
1379,1379,5755
1380,1380,5748
1381,1381,5740
1382,1382,5731
1383,1383,5726
1384,1384,5717
1385,1385,5709
1386,1386,5702
1387,1387,5696
1388,1388,5688
1389,1389,5680
1390,1390,5671
1391,1391,5665
1392,1392,5655
1393,1393,5648
1394,1394,5641
1395,1395,5634
1396,1396,5628
1397,1397,5618
1398,1398,5611
1399,1399,5603
1400,1400,5595
1401,1401,5586
1402,1402,5580
1403,1403,5572
1404,1404,5563
1405,1405,5555
1406,1406,5548
1407,1407,5539
1408,1408,5532
1409,1409,5523
1410,1410,5515
1411,1411,5508
1412,1412,5500
1413,1413,5493
1414,1414,5484
1415,1415,5478
1416,1416,5470
1417,1417,5460
1418,1418,5457
1419,1419,5448
1420,1420,5440
1421,1421,5431
1422,1422,5424
1423,1423,5415
1424,1424,5408
1425,1425,5400
1426,1426,5395
1427,1427,5385
1428,1428,5379
1429,1429,5372
1430,1430,5363
1431,1431,5356
1432,1432,5349
1433,1433,5340
1434,1434,5337
1435,1435,5327
1436,1436,5319
1437,1437,5312
1438,1438,5304
1439,1439,5297
1440,1440,5288
1441,1441,5280
1442,1442,5272
1443,1443,5265
1444,1444,5257
1445,1445,5249
1446,1446,5242
1447,1447,5232
1448,1448,5226
1449,1449,5218
1450,1450,5210
1451,1451,5201
1452,1452,5194
1453,1453,5187
1454,1454,5177
1455,1455,5170
1456,1456,5162
1457,1457,5154
1458,1458,5146
1459,1459,5138
1460,1460,5132
1461,1461,5123
1462,1462,5116
1463,1463,5108
1464,1464,5101
1465,1465,5092
1466,1466,5085
1467,1467,5077
1468,1468,5068
1469,1469,5060
1470,1470,5051
1471,1471,5045
1472,1472,5039
1473,1473,5030
1474,1474,5023
1475,1475,5015
1476,1476,5007
1477,1477,4999
1478,1478,4993
1479,1479,4985
1480,1480,4975
1481,1481,4969
1482,1482,4960
1483,1483,4953
1484,1484,4946
1485,1485,4939
1486,1486,4931
1487,1487,4924
1488,1488,4916
1489,1489,4908
1490,1490,4903
1491,1491,4893
1492,1492,4886
1493,1493,4878
1494,1494,4869
1495,1495,4861
1496,1496,4853
1497,1497,4846
1498,1498,4837
1499,1499,4830
1500,1500,4824
1501,1501,4815
1502,1502,4807
1503,1503,4800
1504,1504,4793
1505,1505,4784
1506,1506,4778
1507,1507,4771
1508,1508,4762
1509,1509,4757
1510,1510,4750
1511,1511,4744
1512,1512,4739
1513,1513,4734
1514,1514,4727
1515,1515,4720
1516,1516,4715
1517,1517,4708
1518,1518,4702
1519,1519,4698
1520,1520,4693
1521,1521,4686
1522,1522,4680
1523,1523,4674
1524,1524,4669
1525,1525,4663
1526,1526,4657
1527,1527,4651
1528,1528,4646
1529,1529,4639
1530,1530,4632
1531,1531,4627
1532,1532,4620
1533,1533,4615
1534,1534,4609
1535,1535,4603
1536,1536,4598
1537,1537,4592
1538,1538,4586
1539,1539,4581
1540,1540,4575
1541,1541,4569
1542,1542,4563
1543,1543,4556
1544,1544,4552
1545,1545,4545
1546,1546,4539
1547,1547,4533
1548,1548,4529
1549,1549,4524
1550,1550,4517
1551,1551,4512
1552,1552,4504
1553,1553,4500
1554,1554,4493
1555,1555,4487
1556,1556,4482
1557,1557,4475
1558,1558,4469
1559,1559,4463
1560,1560,4457
1561,1561,4452
1562,1562,4446
1563,1563,4441
1564,1564,4436
1565,1565,4429
1566,1566,4424
1567,1567,4418
1568,1568,4414
1569,1569,4405
1570,1570,4399
1571,1571,4394
1572,1572,4389
1573,1573,4381
1574,1574,4377
1575,1575,4370
1576,1576,4365
1577,1577,4358
1578,1578,4352
1579,1579,4348
1580,1580,4342
1581,1581,4334
1582,1582,4330
1583,1583,4324
1584,1584,4319
1585,1585,4313
1586,1586,4308
1587,1587,4302
1588,1588,4295
1589,1589,4291
1590,1590,4283
1591,1591,4279
1592,1592,4274
1593,1593,4269
1594,1594,4262
1595,1595,4256
1596,1596,4251
1597,1597,4243
1598,1598,4237
1599,1599,4231
1600,1600,4225
1601,1601,4221
1602,1602,4215
1603,1603,4209
1604,1604,4203
1605,1605,4196
1606,1606,4191
1607,1607,4183
1608,1608,4178
1609,1609,4173
1610,1610,4167
1611,1611,4161
1612,1612,4156
1613,1613,4150
1614,1614,4145
1615,1615,4139
1616,1616,4133
1617,1617,4127
1618,1618,4122
1619,1619,4115
1620,1620,4111
1621,1621,4104
1622,1622,4098
1623,1623,4091
1624,1624,4085
1625,1625,4081
1626,1626,4075
1627,1627,4069
1628,1628,4064
1629,1629,4056
1630,1630,4052
1631,1631,4046
1632,1632,4040
1633,1633,4032
1634,1634,4028
1635,1635,4024
1636,1636,4018
1637,1637,4011
1638,1638,4005
1639,1639,4000
1640,1640,3993
1641,1641,3988
1642,1642,3982
1643,1643,3976
1644,1644,3971
1645,1645,3965
1646,1646,3959
1647,1647,3953
1648,1648,3947
1649,1649,3942
1650,1650,3937
1651,1651,3931
1652,1652,3924
1653,1653,3920
1654,1654,3913
1655,1655,3907
1656,1656,3903
1657,1657,3897
1658,1658,3890
1659,1659,3884
1660,1660,3879
1661,1661,3873
1662,1662,3868
1663,1663,3862
1664,1664,3857
1665,1665,3850
1666,1666,3844
1667,1667,3837
1668,1668,3831
1669,1669,3825
1670,1670,3820
1671,1671,3814
1672,1672,3807
1673,1673,3804
1674,1674,3798
1675,1675,3792
1676,1676,3785
1677,1677,3781
1678,1678,3772
1679,1679,3769
1680,1680,3761
1681,1681,3755
1682,1682,3749
1683,1683,3743
1684,1684,3737
1685,1685,3732
1686,1686,3726
1687,1687,3719
1688,1688,3714
1689,1689,3708
1690,1690,3703
1691,1691,3697
1692,1692,3692
1693,1693,3685
1694,1694,3680
1695,1695,3673
1696,1696,3669
1697,1697,3662
1698,1698,3657
1699,1699,3651
1700,1700,3643
1701,1701,3639
1702,1702,3633
1703,1703,3626
1704,1704,3621
1705,1705,3616
1706,1706,3608
1707,1707,3605
1708,1708,3598
1709,1709,3592
1710,1710,3587
1711,1711,3580
1712,1712,3575
1713,1713,3570
1714,1714,3563
1715,1715,3559
1716,1716,3554
1717,1717,3547
1718,1718,3542
1719,1719,3536
1720,1720,3530
1721,1721,3525
1722,1722,3518
1723,1723,3512
1724,1724,3506
1725,1725,3502
1726,1726,3496
1727,1727,3489
1728,1728,3483
1729,1729,3477
1730,1730,3472
1731,1731,3466
1732,1732,3460
1733,1733,3454
1734,1734,3447
1735,1735,3443
1736,1736,3437
1737,1737,3433
1738,1738,3427
1739,1739,3421
1740,1740,3415
1741,1741,3411
1742,1742,3404
1743,1743,3398
1744,1744,3392
1745,1745,3387
1746,1746,3382
1747,1747,3376
1748,1748,3367
1749,1749,3363
1750,1750,3357
1751,1751,3351
1752,1752,3343
1753,1753,3341
1754,1754,3335
1755,1755,3329
1756,1756,3322
1757,1757,3315
1758,1758,3310
1759,1759,3307
1760,1760,3299
1761,1761,3293
1762,1762,3288
1763,1763,3282
1764,1764,3275
1765,1765,3271
1766,1766,3265
1767,1767,3258
1768,1768,3252
1769,1769,3247
1770,1770,3242
1771,1771,3233
1772,1772,3228
1773,1773,3225
1774,1774,3218
