step,time,alive
971,971,6780
972,972,6767
973,973,6755
974,974,6739
975,975,6726
976,976,6712
977,977,6700
978,978,6686
979,979,6674
980,980,6661
981,981,6646
982,982,6634
983,983,6621
984,984,6609
985,985,6597
986,986,6583
987,987,6572
988,988,6556
989,989,6542
990,990,6533
991,991,6519
992,992,6510
993,993,6495
994,994,6482
995,995,6470
996,996,6457
997,997,6442
998,998,6431
999,999,6416
1000,1000,6404
1001,1001,6392
1002,1002,6378
1003,1003,6366
1004,1004,6352
1005,1005,6341
1006,1006,6326
1007,1007,6314
1008,1008,6303
1009,1009,6289
1010,1010,6278
1011,1011,6267
1012,1012,6252
1013,1013,6239
1014,1014,6226
1015,1015,6214
1016,1016,6200
1017,1017,6191
1018,1018,6177
1019,1019,6166
1020,1020,6153
1021,1021,6139
1022,1022,6126
1023,1023,6112
1024,1024,6101
1025,1025,6089
1026,1026,6077
1027,1027,6062
1028,1028,6050
1029,1029,6037
1030,1030,6026
1031,1031,6012
1032,1032,5999
1033,1033,5985
1034,1034,5976
1035,1035,5964
1036,1036,5949
1037,1037,5935
1038,1038,5924
1039,1039,5912
1040,1040,5901
1041,1041,5890
1042,1042,5876
1043,1043,5866
1044,1044,5853
1045,1045,5839
1046,1046,5829
1047,1047,5817
1048,1048,5804
1049,1049,5794
1050,1050,5779
1051,1051,5766
1052,1052,5754
1053,1053,5743
1054,1054,5731
1055,1055,5719
1056,1056,5706
1057,1057,5694
1058,1058,5682
1059,1059,5670
1060,1060,5660
1061,1061,5648
1062,1062,5637
1063,1063,5629
1064,1064,5618
1065,1065,5607
1066,1066,5595
1067,1067,5585
1068,1068,5572
1069,1069,5563
1070,1070,5550
1071,1071,5542
1072,1072,5529
1073,1073,5519
1074,1074,5509
1075,1075,5498
1076,1076,5489
1077,1077,5476
1078,1078,5462
1079,1079,5452
1080,1080,5440
1081,1081,5432
1082,1082,5419
1083,1083,5409
1084,1084,5399
1085,1085,5389
1086,1086,5377
1087,1087,5369
1088,1088,5358
1089,1089,5345
1090,1090,5336
1091,1091,5326
1092,1092,5314
1093,1093,5305
1094,1094,5294
1095,1095,5284
1096,1096,5273
1097,1097,5261
1098,1098,5250
1099,1099,5240
1100,1100,5228
1101,1101,5218
1102,1102,5207
1103,1103,5196
1104,1104,5186
1105,1105,5174
1106,1106,5162
1107,1107,5152
1108,1108,5144
1109,1109,5132
1110,1110,5121
1111,1111,5108
1112,1112,5100
1113,1113,5090
1114,1114,5078
1115,1115,5068
1116,1116,5057
1117,1117,5048
1118,1118,5035
1119,1119,5027
